
31 May 2012 10:01:47 AM

FEYNMAN_KAC_2D:
  C version.

  Program parameters:

  The calculation takes place inside a 2D ellipse.
  A rectangular grid of points will be defined.
  The solution will be estimated for those grid points
  that lie inside the ellipse.

  Each solution will be estimated by computing 10000 trajectories
  from the point to the boundary.

    (X/A)^2 + (Y/B)^2 = 1

  The ellipse parameters A, B are set to:

    A = 2.000000
    B = 1.000000
  Stepsize H = 0.0001

  X coordinate marked by 21 points
  Y coordinate marked by 11 points

     X        Y        W Approx     W Exact    Error    Ave Steps
  -0.8000   0.2000  4.4596e-01  4.4933e-01  3.3641e-03      6482
  -0.8000   0.3000  4.6420e-01  4.7237e-01  8.1628e-03      6142
  -0.8000   0.4000  4.9797e-01  5.0662e-01  8.6447e-03      5619
  -0.8000   0.5000  5.5508e-01  5.5433e-01  7.4846e-04      4679
  -0.8000   0.6000  6.1329e-01  6.1878e-01  5.4918e-03      3883
  -0.8000   0.7000  6.9740e-01  7.0469e-01  7.2919e-03      2875
  -0.8000   0.8000  8.1051e-01  8.1873e-01  8.2232e-03      1683
  -0.8000   0.9000  9.5792e-01  9.7045e-01  1.2530e-02       342
  -0.8000   1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -0.4000  -1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -0.4000  -0.9000  8.4975e-01  8.6071e-01  1.0955e-02      1298
  -0.4000  -0.8000  7.1838e-01  7.2615e-01  7.7709e-03      2627
  -0.4000  -0.7000  6.1567e-01  6.2500e-01  9.3275e-03      3889
  -0.4000  -0.6000  5.4693e-01  5.4881e-01  1.8818e-03      4790
  -0.4000  -0.5000  4.8600e-01  4.9164e-01  5.6431e-03      5770
  -0.4000  -0.4000  4.4641e-01  4.4933e-01  2.9185e-03      6465
  -0.4000  -0.3000  4.1502e-01  4.1895e-01  3.9282e-03      6997
  -0.4000  -0.2000  3.9564e-01  3.9852e-01  2.8814e-03      7439
  -0.4000  -0.1000  3.8212e-01  3.8674e-01  4.6226e-03      7691
  -0.4000   0.0000  3.7867e-01  3.8289e-01  4.2183e-03      7753
  -0.4000   0.1000  3.8330e-01  3.8674e-01  3.4395e-03      7622
  -0.4000   0.2000  3.9388e-01  3.9852e-01  4.6392e-03      7526
  -0.4000   0.3000  4.1545e-01  4.1895e-01  3.5041e-03      7000
  -0.4000   0.4000  4.4628e-01  4.4933e-01  3.0463e-03      6469
  -0.4000   0.5000  4.8807e-01  4.9164e-01  3.5736e-03      5758
  -0.4000   0.6000  5.4041e-01  5.4881e-01  8.4046e-03      4924
  -0.4000   0.7000  6.2193e-01  6.2500e-01  3.0690e-03      3758
  -0.4000   0.8000  7.1765e-01  7.2615e-01  8.4970e-03      2662
  -0.4000   0.9000  8.4917e-01  8.6071e-01  1.1541e-02      1305
  -0.4000   1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
   0.0000  -1.0000  9.9286e-01  1.0000e+00  7.1378e-03        53
   0.0000  -0.9000  8.1407e-01  8.2696e-01  1.2889e-02      1604
   0.0000  -0.8000  6.8395e-01  6.9768e-01  1.3731e-02      3004
   0.0000  -0.7000  5.9328e-01  6.0050e-01  7.2124e-03      4129
