17 June 2014 08:30:02 AM

TOMS743_PRB
  C version
  Test the TOMS743 library.

  Number of bits in mantissa - 1 = 52

TEST01
  Compare WAPR(X) to stored values.

  Wp results for x near -exp(-1)

   Offset x    W(x) (WAPR)   W(x) (EXACT)   Digits Correct
  -8.00000000e-09  -8.00000006e-09  -8.00000006e-09       16
  -9.00000000e-09  -9.00000008e-09  -9.00000008e-09       16
  -1.00000000e-08  -1.00000001e-08  -1.00000001e-08       16
  -1.00000000e-02  -1.01015272e-02  -1.01015272e-02       16
  -2.00000000e-02  -2.04124441e-02  -2.04124441e-02       16
  -3.00000000e-02  -3.09427950e-02  -3.09427950e-02       16
  -4.00000000e-02  -4.17034084e-02  -4.17034084e-02       16
  -5.00000000e-02  -5.27059836e-02  -5.27059836e-02       16
  -6.00000000e-02  -6.39631894e-02  -6.39631894e-02       16
  -7.00000000e-02  -7.54887789e-02  -7.54887789e-02       16
  -8.00000000e-02  -8.72977209e-02  -8.72977209e-02       16
  -9.00000000e-02  -9.94063528e-02  -9.94063528e-02       16
  -1.00000000e-01  -1.11832559e-01  -1.11832559e-01       16

  Other Wp results

      x     W(x) (WAPR)     W(x) (EXACT)   Digits Correct

   1.00000000e+01   1.74552800e+00   1.74552800e+00       16
   1.00000000e+02   3.38563014e+00   3.38563014e+00       16
   1.00000000e+03   5.24960285e+00   5.24960285e+00       16
   1.00000000e+04   7.23184604e+00   7.23184604e+00       16
   1.00000000e+05   9.28457143e+00   9.28457143e+00       16
   1.00000000e+06   1.13833581e+01   1.13833581e+01       16
   1.00000000e+07   1.35143440e+01   1.35143440e+01       16
   1.00000000e+08   1.56689967e+01   1.56689967e+01       16
   1.00000000e+09   1.78417260e+01   1.78417260e+01       16
   1.00000000e+10   2.00286854e+01   2.00286854e+01       16

  Wm results for x near 0

      x    W(x) (WAPR)     W(x) (EXACT)   Digits Correct

   1.00000000e-40  -1.00000000e+00  -1.00000000e+00       16
   2.00000000e-40  -1.00000000e+00  -1.00000000e+00       16
   3.00000000e-40  -1.00000000e+00  -1.00000000e+00       16
   4.00000000e-40  -1.00000000e+00  -1.00000000e+00       16
   5.00000000e-40  -1.00000000e+00  -1.00000000e+00       16
   6.00000000e-40  -1.00000000e+00  -1.00000000e+00       16
   7.00000000e-40  -1.00000000e+00  -1.00000000e+00       16
   8.00000000e-40  -1.00000000e+00  -1.00000000e+00       16
   9.00000000e-40  -1.00000000e+00  -1.00000000e+00       16
   1.00000000e-39  -1.00000000e+00  -1.00000000e+00       16
   1.00000000e-30  -1.00000000e+00  -1.00000000e+00       16
   2.00000000e-30  -1.00000000e+00  -1.00000000e+00       16
   3.00000000e-30  -1.00000000e+00  -1.00000000e+00       16
   4.00000000e-30  -1.00000000e+00  -1.00000000e+00       16
   5.00000000e-30  -1.00000000e+00  -1.00000000e+00       16
   6.00000000e-30  -1.00000000e+00  -1.00000000e+00       16
   7.00000000e-30  -1.00000000e+00  -1.00000000e+00       16
   8.00000000e-30  -1.00000000e+00  -1.00000000e+00       16
   9.00000000e-30  -1.00000000e+00  -1.00000000e+00       16
   1.00000000e-29  -1.00000000e+00  -1.00000000e+00       16
   1.00000000e-20  -1.00000000e+00  -1.00000000e+00       16
   2.00000000e-20  -1.00000000e+00  -1.00000000e+00       16
   3.00000000e-20  -1.00000000e+00  -1.00000000e+00       16
   4.00000000e-20  -1.00000000e+00  -1.00000000e+00       16
   5.00000000e-20  -1.00000000e+00  -1.00000000e+00       16
   6.00000000e-20  -1.00000000e+00  -1.00000000e+00       16
   7.00000000e-20  -1.00000000e+00  -1.00000000e+00       16
   8.00000000e-20  -1.00000000e+00  -1.00000000e+00       16
   9.00000000e-20  -1.00000000e+00  -1.00000000e+00       16
   1.00000000e-19  -1.00000000e+00  -1.00000000e+00       16
   1.00000000e-10  -1.00002332e+00  -1.00002332e+00       16
   2.00000000e-10  -1.00003297e+00  -1.00003297e+00       16
   3.00000000e-10  -1.00004039e+00  -1.00004039e+00       16
   4.00000000e-10  -1.00004663e+00  -1.00004663e+00       16
   5.00000000e-10  -1.00005214e+00  -1.00005214e+00       16
   6.00000000e-10  -1.00005711e+00  -1.00005711e+00       16
   7.00000000e-10  -1.00006169e+00  -1.00006169e+00       16
   8.00000000e-10  -1.00006595e+00  -1.00006595e+00       16
   9.00000000e-10  -1.00006995e+00  -1.00006995e+00       16
   1.00000000e-09  -1.00007373e+00  -1.00007373e+00       16
   1.00000000e-05  -1.00739149e+00  -1.00739149e+00       16
   2.00000000e-05  -1.01046385e+00  -1.01046385e+00       16
   3.00000000e-05  -1.01282563e+00  -1.01282563e+00       16
   4.00000000e-05  -1.01481959e+00  -1.01481959e+00       16
   5.00000000e-05  -1.01657851e+00  -1.01657851e+00       16
   6.00000000e-05  -1.01817048e+00  -1.01817048e+00       16
   7.00000000e-05  -1.01963593e+00  -1.01963593e+00       16
   8.00000000e-05  -1.02100123e+00  -1.02100123e+00       16
   9.00000000e-05  -1.02228469e+00  -1.02228469e+00       16
   1.00000000e-04  -1.02349962e+00  -1.02349962e+00       16
   2.00000000e-04  -1.03334244e+00  -1.03334244e+00       15
   3.00000000e-04  -1.04093919e+00  -1.04093919e+00       15
   4.00000000e-04  -1.04737363e+00  -1.04737363e+00       15
   5.00000000e-04  -1.05306550e+00  -1.05306550e+00       15
   6.00000000e-04  -1.05823003e+00  -1.05823003e+00       15
   7.00000000e-04  -1.06299509e+00  -1.06299509e+00       15
   8.00000000e-04  -1.06744399e+00  -1.06744399e+00       16
   9.00000000e-04  -1.07163456e+00  -1.07163456e+00       15
   1.00000000e-03  -1.07560894e+00  -1.07560894e+00       15
   2.00000000e-03  -1.10808188e+00  -1.10808188e+00       15
   3.00000000e-03  -1.13348700e+00  -1.13348700e+00       15
   4.00000000e-03  -1.15524585e+00  -1.15524585e+00       16
   5.00000000e-03  -1.17468261e+00  -1.17468261e+00       15
   6.00000000e-03  -1.19247585e+00  -1.19247585e+00       15
   7.00000000e-03  -1.20902838e+00  -1.20902838e+00       16
   8.00000000e-03  -1.22460245e+00  -1.22460245e+00       16
   9.00000000e-03  -1.23938010e+00  -1.23938010e+00       15
   1.00000000e-02  -1.25349379e+00  -1.25349379e+00       15

  Wm results for x near -exp(-1)

   Offset x    W(x) (WAPR)     W(x) (EXACT)   Digits Correct

  -1.00000000e-40  -9.66747560e+01  -9.66747560e+01       16
  -2.00000000e-40  -9.59743374e+01  -9.59743374e+01       16
  -3.00000000e-40  -9.55645938e+01  -9.55645938e+01       16
  -4.00000000e-40  -9.52738649e+01  -9.52738649e+01       16
  -5.00000000e-40  -9.50483515e+01  -9.50483515e+01       16
  -6.00000000e-40  -9.48640895e+01  -9.48640895e+01       16
  -7.00000000e-40  -9.47082952e+01  -9.47082952e+01       16
  -8.00000000e-40  -9.45733378e+01  -9.45733378e+01       16
  -9.00000000e-40  -9.44542952e+01  -9.44542952e+01       16
  -1.00000000e-39  -9.43478067e+01  -9.43478067e+01       16
  -1.00000000e-30  -7.33731103e+01  -7.33731103e+01       16
  -2.00000000e-30  -7.26703389e+01  -7.26703389e+01       16
  -3.00000000e-30  -7.22592002e+01  -7.22592002e+01       16
  -4.00000000e-30  -7.19674727e+01  -7.19674727e+01       16
  -5.00000000e-30  -7.17411798e+01  -7.17411798e+01       16
  -6.00000000e-30  -7.15562776e+01  -7.15562776e+01       16
  -7.00000000e-30  -7.13999397e+01  -7.13999397e+01       16
  -8.00000000e-30  -7.12645097e+01  -7.12645097e+01       16
